1,800-8600-0191,Fitness/Health Club
2,800-8600-0000,Sports Facility/Venue
3,800-8600-0180,Sports Complex/Stadium
4,800-8600-0192,Indoor Sports
5,800-8600-0181,Ice Skating Rink
6,800-8600-0197,Sports Activities
7,800-8600-0190,Squash Court
8,800-8600-0184,Bowling Center
9,800-8600-0196,Sporting Instruction/Camp
10,800-8600-0183,Tennis Court
11,800-8600-0193,Golf Course
12,800-8600-0199,Basketball
13,800-8600-0182,Swimming Pool
14,800-8600-0200,Badminton
15,800-8600-0185,Indoor Ski
16,800-8600-0189,Soccer Club
17,800-8600-0188,Shooting Range
18,800-8600-0195,Racetrack
19,800-8600-0187,Racquetball Court
20,800-8600-0381,Running Track
